0
питон | сладкий газированный напиток
телевизор | средство передвижения
собака | устройство для прослушивания музыки
чай | имя древнего викинга
луна | карманный инструмент для починки обуви
молоко | жаркий песчаный климат
шоколад | устройство для мытья посуды
стул | музыкальный инструмент с тремя струнами
картошка | элемент таблицы Менделеева
окно | тип двигателя внутреннего сгорания
мышь | крупная африканская птица
город | небольшой морской моллюск
кошка | космическая станция
пальто | традиционная японская закуска
носок | программа для редактирования видео
карандаш | древнегреческий философ
облако | материал для изготовления ботинок
бабушка | единица измерения электричества
замок | известный писатель XIX века
вилка | международная валюта
часы | съедобное растение из семейства бобовых  
роза | древний римский бог войны  
зонтик | промышленный термин в судостроении  
лампа | зимний вид спорта  
яблоко | валюта Южной Америки  
ручка | подводная лодка времён Второй мировой  
стена | инструмент для игры в гольф  
пароход | популярный соус для пасты  
дом | единица измерения температуры  
змея | компонент компьютерного процессора  
берёза | летающее устройство NASA  
апельсин | художественный стиль эпохи Возрождения  
банан | тип архитектурной конструкции  
линейка | жанр альтернативной рок-музыки  
телефон | вид морепродукта  
пирог | шведская философская школа  
вода | механизм часового завода  
медведь | экзотический музыкальный инструмент  
печенька | международный договор  
чайник | древнекитайская валюта  
стакан | название популярной социальной сети  
шапка | порода спортивных автомобилей  
носки | вид компьютерной графики  
ремень | облачная вычислительная платформа  
песня | марка промышленного трактора  
бутылка | деталь гоночного велосипеда  
перо | вид строительной арматуры  
краска | вид ядерного оружия  
картина | хищное морское животное  
фотоаппарат | философская концепция буддизма  
рюкзак | экономическая стратегия XX века  
кукла | термоядерная модель двигателя  
заметка | жанр тропической рыбы  
журнал | древнеримская дорога  
пылесос | тип метеорологического явления  
сковорода | химический элемент с номером 123  
зеркало | разновидность французского сыра  
шарик | компонент печатной платы  
тарелка | религиозная практика в Месопотамии  
лестница | разновидность экзоскелета  
диван | математическая операция над векторами  
молния | вид интернет-провайдера  
туча | стратегия защиты в шахматах  
кнопка | название столицы вымышленной страны  
ключ | метод кодирования ДНК  
замазка | вид тропического фрукта  
письмо | средство от головной боли  
конверт | форма национальной валюты  
лук | навигационная система подводных лодок  
меч | элемент японской чайной церемонии  
арбуз | транспортный узел в Сибири  
груша | тип программного обеспечения  
огурец | шахматный дебют  
помидор | вариант футбольной схемы  
гриб | физическая единица длины  
капуста | международная правозащитная организация  
морковь | вид американского кино  
чеснок | компонент двигателя Tesla  
петух | валюта Древнего Египта  
корова | элемент интерфейса Windows  
барабан | способ передачи Wi-Fi  
птица | сорт винограда  
ведро | раздел квантовой механики  
лопата | деталь гоночного болида  
каша | тип сверхпроводимости  
мяч | бог египетского пантеона  
кольцо | режим работы микроволновки  
брюки | функция в Excel  
рубашка | часть атомной электростанции  
пиджак | порода декоративных рыб  
куртка | алгоритм машинного обучения  
тапки | система видеонаблюдения  
пижама | программа для создания 3D-анимаций  
игла | микроскопический организм  
нитка | разновидность лазерного оружия  
свитер | элемент ДНК  
чайная | тип боевого дрона  
фен | школа немецкой философии  
утюг | система хранения данных  
мыло | модель космического спутника  
зубная щётка | метод терморегуляции  
вертолёт | музыкальный жанр  
поезд | мясное блюдо индийской кухни  
ракета | косметическое средство  
мост | форма эпидемии  
грузовик | часть клетки  
автобус | химическая реакция с кислородом  
пароход | теория времени  
танк | стиль архитектуры  
самолёт | деталь стиральной машины  
корабль | жанр танцевальной музыки  
грузчик | подвид кенгуру  
дрова | криптовалюта нового поколения  
пельмени | результат дифференциального уравнения  
блины | скандинавская богиня  
борщ | тип древнегреческой керамики  
